quartier,vente_psqm_01,loyer_psqm_01,rendement_wc_01,immeubles_vente,immeubles_loc,apparies,low_sample,delistees_3j,taux_delistage_pct,population_dopa,ventes_pour_1000_hab,locs_pour_1000_hab
Pathum Wan,177143,712.7,4.62,53,70,40,0,,,37923,19.2,32.94
Bang Rak,157407,614.3,4.67,51,53,40,0,,,39707,15.54,14.66
Dusit,153215,488.9,,2,3,0,1,,,71858,0.29,0.1
Ratchathewi,148601,610,4.78,68,70,60,0,,,60283,11.08,15.48
Khlong Toei,141790,625,5.11,136,154,101,0,,,87966,18.69,24.84
Sathon,138293,525.2,5.01,43,46,31,0,,,68564,9.42,10.3
Vadhana,136364,592.9,5.33,187,211,153,0,,,79175,32.45,45.03
Phaya Thai,112913,512.8,4.78,56,52,34,0,,,62754,3.71,3.44
Pom Prap Sattru Phai,112575,382.9,,1,2,1,1,,,35338,0.06,0.08
Khlong San,106594,452,4.96,54,45,37,0,,,60945,8.01,6.65
Din Daeng,99857,457.6,5.38,47,40,29,0,,,108062,2.35,1.81
Bang Kho Laem,95453,593.8,4.31,19,17,11,1,,,74032,3.19,2.65
Chatuchak,88559,500,5.23,144,103,81,0,,,154601,4.15,3.93
Huai Khwang,86652,476.5,5.73,126,100,77,0,,,83847,9.31,12.15
Phra Nakhon,86486,469.5,,1,2,1,1,,,37933,0.05,0.21
Yan Nawa,86111,411.8,5.48,47,29,23,0,,,72086,4.33,3.09
Bangkok Yai,84273,453.1,5.57,15,11,11,1,,,58364,4.52,0.74
Thung Khru,82917,399.2,,3,1,1,1,,,124053,0.08,0.03
Phra Khanong,82812,428.6,5.59,71,65,48,0,,,83548,4.63,5.04
Bang Sue,82812,369.3,5.44,37,28,23,0,,,115929,3.8,1.32
Bangkok Noi,80351,445.9,5.39,25,22,16,0,,,94197,2.57,1.75
Thon Buri,79106,387.1,5.55,31,37,25,0,,,94859,2.01,1.71
Bang Phlat,77894,402.3,5.54,37,25,21,0,,,85459,1.58,1.08
Wang Thonglang,69390,396.2,6.09,22,10,10,1,,,101898,0.64,0.38
Lat Phrao,69281,437.5,,13,7,3,1,,,110214,0.38,0.25
Min Buri,68862,405.1,,4,2,0,1,,,140302,0.09,0.06
Don Mueang,68851,341,,4,6,2,1,,,165587,0.11,0.04
Phasi Charoen,68557,351.9,5.73,35,25,20,0,,,120431,1.2,0.79
Bang Khen,68385,365.2,5.79,33,18,9,1,,,183009,0.48,0.21
Chom Thong,67742,361.1,5.84,17,8,7,1,,,136892,0.45,0.18
Suan Luang,67391,423.1,6.37,51,44,32,0,,,123145,1.99,1.19
Rat Burana,67233,318.5,,8,6,4,1,,,74161,0.44,0.3
Lak Si,65901,357.1,,10,3,2,1,,,96365,0.36,0.11
Sai Mai,63776,375,,5,3,2,1,,,213001,0.11,0.03
Bang Na,63309,395.8,5.8,57,44,28,0,,,84348,3.77,3.77
Bang Kapi,62826,439.2,6.06,57,28,23,0,,,140471,1.76,1.32
Bang Khun Thian,57367,281.2,,8,2,2,1,,,185278,0.12,0.04
Lat Krabang,57090,390,,12,1,0,1,,,182840,0.21,0.03
Khan Na Yao,56881,391.2,,12,4,2,1,,,92605,0.33,0.09
Bang Khae,55905,326.9,5.77,14,9,7,1,,,191610,0.17,0.15
Taling Chan,55357,,,1,0,0,1,,,100213,0.05,0
Bueng Kum,48148,259.5,,18,4,3,1,,,134204,0.34,0.05
Prawet,41369,300,,12,7,4,1,,,183369,0.34,0.17
Saphan Sung,39960,,,1,0,0,1,,,97935,0.07,0.11
Bang Bon,39286,257.4,,1,2,0,1,,,97671,0.03,0.03
Samphanthawong,,254.6,,0,1,0,1,,,17930,0.11,0.39
Nong Khaem,,140,,0,1,0,1,,,154398,0.03,0.01
