quartier;vente_psqm_01;loyer_psqm_01;rendement_wc_01;immeubles_vente;immeubles_loc;apparies;low_sample;delistees_3j;taux_delistage_pct;population_dopa;ventes_pour_1000_hab;locs_pour_1000_hab
Pathum Wan;176935;711,1;4,76;57;63;38;0;;;37923;29,43;37,55
Bang Rak;160379;671,8;4,71;54;56;42;0;;;39707;26,02;18,06
Ratchathewi;146608;610,4;4,62;76;70;61;0;;;60283;20,4;18,99
Khlong Toei;136705;604,4;5,37;156;167;115;0;;;87966;30,01;31,06
Vadhana;135714;586,9;5,32;208;217;165;0;;;79175;52,67;54,42
Dusit;134208;488,9;;4;3;1;1;;;71858;0,77;0,08
Sathon;126548;500;5,07;54;53;38;0;;;68564;14,6;12,59
Phaya Thai;112897;511,3;4,91;68;59;41;0;;;62754;7,79;5,26
Pom Prap Sattru Phai;112575;382,9;;1;2;1;1;;;35338;0,06;0,11
Khlong San;105662;447,4;4,81;58;47;39;0;;;60945;13,64;8,66
Bang Kho Laem;101826;556,6;4,99;23;16;12;1;;;74032;4,59;2,63
Din Daeng;96692;450,8;5,34;61;38;31;0;;;108062;4,04;2,14
Chatuchak;86800;486,4;5,49;175;106;96;0;;;154601;6,93;4,58
Thung Khru;84892;480,8;;4;1;1;1;;;124053;0,09;0,04
Yan Nawa;84408;417,2;5,55;52;30;23;0;;;72086;7,89;3,22
Bangkok Yai;84273;384,2;5,41;15;13;12;1;;;58364;4,64;2,02
Huai Khwang;83954;472,2;5,65;142;101;85;0;;;83847;17,03;14,88
Bang Sue;82581;378,3;5,29;45;29;26;0;;;115929;4,64;1,6
Phra Khanong;82275;427,2;5,62;82;67;54;0;;;83548;7,17;6,12
Bangkok Noi;80351;392,3;5,36;25;37;20;0;;;94197;2,71;3,65
Phra Nakhon;77685;469,5;;1;2;1;1;;;37933;0,08;0,21
Thon Buri;76827;373,2;5,79;40;42;31;0;;;94859;3,13;3,68
Bang Phlat;76170;375;5,65;38;37;28;0;;;85459;2,48;3,74
Phasi Charoen;70000;343,8;5,75;43;33;30;0;;;120431;1,69;2,74
Bang Khen;68385;377,2;5,84;41;22;16;0;;;183009;0,79;0,27
Bang Na;68293;402;5,49;69;42;30;0;;;84348;5,77;4,45
Suan Luang;67784;423,7;6,41;58;48;35;0;;;123145;3;1,82
Min Buri;67552;319,1;5,73;10;10;9;1;;;140302;0,43;0,73
Lak Si;67308;357,1;;11;5;4;1;;;96365;0,55;0,13
Don Mueang;66768;377,1;;5;4;1;1;;;165587;0,14;0,02
Sai Mai;65400;392,9;7,06;8;5;5;1;;;213001;0,12;0,04
Chom Thong;65312;321,4;5,76;23;21;20;0;;;136892;1,75;1,81
Rat Burana;65000;285,6;5,67;13;14;11;1;;;74161;1,52;2,08
Khan Na Yao;63026;375;5,25;16;9;7;1;;;92605;0,66;0,17
Lat Phrao;60006;404,8;;13;9;4;1;;;110214;0,45;0,41
Bang Kapi;59062;428,6;6,06;67;45;36;0;;;140471;2,66;2,54
Bang Khun Thian;58696;281,2;;9;2;2;1;;;185278;0,15;0,04
Bang Khae;57388;325;6,58;16;10;8;1;;;191610;0,3;0,16
Lat Krabang;57308;384,4;;17;1;0;1;;;182840;0,32;0,03
Wang Thonglang;57270;333,3;7,16;44;27;23;0;;;101898;2,39;2,45
Bueng Kum;51481;278,3;6,41;25;24;21;0;;;134204;1,15;0,66
Prawet;48141;297;6,69;17;8;6;1;;;183369;0,6;0,17
Taling Chan;43320;260,4;;2;2;1;1;;;100213;0,16;0,16
Saphan Sung;39960;183,6;;3;1;1;1;;;97935;0,13;0,21
Bang Bon;39286;244,6;;1;2;0;1;;;97671;0,01;0,03
Nong Khaem;;140;;0;1;0;1;;;154398;0,01;0,01
