date;quartier;vente_psqm_01;loyer_psqm_01;rendement_wc_01;apparies;taux_delistage_pct;config_version
2026-08-03;Bang Khun Thian;57367;281,2;;2;;2
2026-08-03;Bang Na;63309;395,8;5,8;28;;2
2026-08-03;Bang Phlat;77894;402,3;5,54;21;;2
2026-08-03;Bang Rak;157407;614,3;4,67;40;;2
2026-08-03;Bang Sue;82812;369,3;5,44;23;;2
2026-08-03;Bangkok Noi;80351;445,9;5,39;16;;2
2026-08-03;Bangkok Yai;84273;453,1;5,57;11;;2
2026-08-03;Bueng Kum;48148;259,5;;3;;2
2026-08-03;Chatuchak;88559;500;5,23;81;;2
2026-08-03;Chom Thong;67742;361,1;5,84;7;;2
2026-08-03;Din Daeng;99857;457,6;5,38;29;;2
2026-08-03;Don Mueang;68851;341;;2;;2
2026-08-03;Dusit;153215;488,9;;0;;2
2026-08-03;Huai Khwang;86652;476,5;5,73;77;;2
2026-08-03;Khan Na Yao;56881;391,2;;2;;2
2026-08-03;Khlong San;106594;452;4,96;37;;2
2026-08-03;Khlong Toei;141790;625;5,11;101;;2
2026-08-03;Lak Si;65901;357,1;;2;;2
2026-08-03;Lat Krabang;57090;390;;0;;2
2026-08-03;Lat Phrao;69281;437,5;;3;;2
2026-08-03;Min Buri;68862;405,1;;0;;2
2026-08-03;Nong Khaem;;140;;0;;2
2026-08-03;Pathum Wan;177143;712,7;4,62;40;;2
2026-08-03;Phasi Charoen;68557;351,9;5,73;20;;2
2026-08-03;Phaya Thai;112913;512,8;4,78;34;;2
2026-08-03;Phra Khanong;82812;428,6;5,59;48;;2
2026-08-03;Phra Nakhon;86486;469,5;;1;;2
2026-08-03;Pom Prap Sattru Phai;112575;382,9;;1;;2
2026-08-03;Prawet;41369;300;;4;;2
2026-08-03;Rat Burana;67233;318,5;;4;;2
2026-08-03;Ratchathewi;148601;610;4,78;60;;2
2026-08-03;Sai Mai;63776;375;;2;;2
2026-08-03;Samphanthawong;;254,6;;0;;2
2026-08-03;Saphan Sung;39960;;;0;;2
2026-08-03;Sathon;138293;525,2;5,01;31;;2
2026-08-03;Suan Luang;67391;423,1;6,37;32;;2
2026-08-03;Taling Chan;55357;;;0;;2
2026-08-03;Thon Buri;79106;387,1;5,55;25;;2
2026-08-03;Thung Khru;82917;399,2;;1;;2
2026-08-03;Vadhana;136364;592,9;5,33;153;;2
2026-08-03;Wang Thonglang;69390;396,2;6,09;10;;2
2026-08-03;Yan Nawa;86111;411,8;5,48;23;;2
2026-08-06;Bang Bon;39286;264,7;;0;;2
2026-08-06;Bang Kapi;65172;421,2;6,11;33;68,4;2
2026-08-06;Bang Khae;57252;326,9;5,92;7;;2
2026-08-06;Bang Khen;68975;363,6;5,92;10;;2
2026-08-06;Bang Kho Laem;102668;593,8;4,31;11;;2
2026-08-06;Bang Khun Thian;57551;281,2;;2;;2
2026-08-06;Bang Na;68293;398;5,69;28;;2
2026-08-06;Bang Phlat;76685;375;5,52;26;;2
2026-08-06;Bang Rak;166667;625,3;4,59;43;34,1;2
2026-08-06;Bang Sue;82812;369,3;5,26;25;;2
2026-08-06;Bangkok Noi;80513;398,4;5,41;19;;2
2026-08-06;Bangkok Yai;84273;386,1;5,36;12;;2
2026-08-06;Bueng Kum;51952;266,7;6,25;18;;2
2026-08-06;Chatuchak;88559;500;5,33;81;;2
2026-08-06;Chom Thong;66917;319;5,69;18;;2
2026-08-06;Din Daeng;99601;463,8;5,19;30;;2
2026-08-06;Don Mueang;68801;354,2;;2;;2
2026-08-06;Dusit;151573;451,3;;0;;2
2026-08-06;Huai Khwang;85000;478,2;5,86;79;53,4;2
2026-08-06;Khan Na Yao;62902;391,2;;2;;2
2026-08-06;Khlong San;107428;448,4;4,77;38;40,9;2
2026-08-06;Khlong Toei;138415;621;5,26;110;62,1;2
2026-08-06;Lak Si;67262;348,2;;2;;2
2026-08-06;Lat Krabang;57848;;;0;;2
2026-08-06;Lat Phrao;72296;393,9;;4;;2
2026-08-06;Min Buri;68293;305,8;5,43;7;;2
2026-08-06;Nong Khaem;;140;;0;;2
2026-08-06;Pathum Wan;177113;719,6;4,62;40;;2
2026-08-06;Phasi Charoen;67901;343,1;5,82;24;;2
2026-08-06;Phaya Thai;114444;511,3;4,8;35;;2
2026-08-06;Phra Khanong;81724;427,9;5,56;49;;2
2026-08-06;Phra Nakhon;86486;469,5;;1;;2
2026-08-06;Pom Prap Sattru Phai;112575;382,9;;1;;2
2026-08-06;Prawet;41667;307,7;;4;;2
2026-08-06;Rat Burana;65000;285,7;5,74;9;;2
2026-08-06;Ratchathewi;149825;607,1;4,76;59;;2
2026-08-06;Sai Mai;63776;387,5;;3;;2
2026-08-06;Samphanthawong;;254,6;;0;;2
2026-08-06;Saphan Sung;39960;;;0;;2
2026-08-06;Sathon;136146;514,3;4,92;33;;2
2026-08-06;Suan Luang;67391;426,2;6,38;31;69,2;2
2026-08-06;Taling Chan;46653;260,4;;1;;2
2026-08-06;Thon Buri;79110;382,6;5,83;26;;2
2026-08-06;Thung Khru;82917;452,8;;1;;2
2026-08-06;Vadhana;135877;585;5,31;156;;2
2026-08-06;Wang Thonglang;59458;336,8;6,43;19;;2
2026-08-06;Yan Nawa;86258;412,7;5,82;24;;2
2026-08-07;Bang Bon;39286;264,7;;0;;2
2026-08-07;Bang Kapi;65172;421,2;6,11;33;68,4;2
2026-08-07;Bang Khae;57252;326,9;5,92;7;;2
2026-08-07;Bang Khen;68975;363,6;5,92;10;;2
2026-08-07;Bang Kho Laem;102668;593,8;4,31;11;;2
2026-08-07;Bang Khun Thian;57551;281,2;;2;;2
2026-08-07;Bang Na;68293;398;5,69;28;;2
2026-08-07;Bang Phlat;76685;375;5,52;26;;2
2026-08-07;Bang Rak;166667;625,3;4,59;43;34,1;2
2026-08-07;Bang Sue;82812;369,3;5,26;25;;2
2026-08-07;Bangkok Noi;80513;398,4;5,41;19;;2
2026-08-07;Bangkok Yai;84273;386,1;5,36;12;;2
2026-08-07;Bueng Kum;51952;266,7;6,25;18;;2
2026-08-07;Chatuchak;88559;500;5,33;81;;2
2026-08-07;Chom Thong;66917;319;5,69;18;;2
2026-08-07;Din Daeng;99601;463,8;5,19;30;;2
2026-08-07;Don Mueang;68801;354,2;;2;;2
2026-08-07;Dusit;151573;451,3;;0;;2
2026-08-07;Huai Khwang;85000;478,2;5,86;79;53,4;2
2026-08-07;Khan Na Yao;62902;391,2;;2;;2
2026-08-07;Khlong San;107428;448,4;4,77;38;40,9;2
2026-08-07;Khlong Toei;138415;621;5,26;110;62,1;2
2026-08-07;Lak Si;67262;348,2;;2;;2
2026-08-07;Lat Krabang;57848;;;0;;2
2026-08-07;Lat Phrao;72296;393,9;;4;;2
2026-08-07;Min Buri;68293;305,8;5,43;7;;2
2026-08-07;Nong Khaem;;140;;0;;2
2026-08-07;Pathum Wan;177113;719,6;4,62;40;;2
2026-08-07;Phasi Charoen;67901;343,1;5,82;24;;2
2026-08-07;Phaya Thai;114444;511,3;4,8;35;;2
2026-08-07;Phra Khanong;81724;427,9;5,56;49;;2
2026-08-07;Phra Nakhon;86486;469,5;;1;;2
2026-08-07;Pom Prap Sattru Phai;112575;382,9;;1;;2
2026-08-07;Prawet;41667;307,7;;4;;2
2026-08-07;Rat Burana;65000;285,7;5,74;9;;2
2026-08-07;Ratchathewi;149825;607,1;4,76;59;;2
2026-08-07;Sai Mai;63776;387,5;;3;;2
2026-08-07;Samphanthawong;;254,6;;0;;2
2026-08-07;Saphan Sung;39960;;;0;;2
2026-08-07;Sathon;136146;514,3;4,92;33;;2
2026-08-07;Suan Luang;67391;426,2;6,38;31;69,2;2
2026-08-07;Taling Chan;46653;260,4;;1;;2
2026-08-07;Thon Buri;79110;382,6;5,83;26;;2
2026-08-07;Thung Khru;82917;452,8;;1;;2
2026-08-07;Vadhana;135877;585;5,31;156;;2
2026-08-07;Wang Thonglang;59458;336,8;6,43;19;;2
2026-08-07;Yan Nawa;86258;412,7;5,82;24;;2
2026-08-11;Bang Bon;39286;264,7;;0;;2
2026-08-11;Bang Kapi;58929;430,7;6,29;35;;2
2026-08-11;Bang Khae;57742;326,9;6,55;8;;2
2026-08-11;Bang Khen;62857;365,2;5,83;11;;2
2026-08-11;Bang Kho Laem;99772;596,9;4,55;12;;2
2026-08-11;Bang Khun Thian;58532;281,2;;2;;2
2026-08-11;Bang Na;69004;406,5;5,73;27;;2
2026-08-11;Bang Phlat;75862;375;5,56;25;;2
2026-08-11;Bang Rak;158981;648,9;4,64;42;;2
2026-08-11;Bang Sue;82812;390,9;5,32;24;;2
2026-08-11;Bangkok Noi;80351;398,4;5,41;19;;2
2026-08-11;Bangkok Yai;84934;386,1;5,36;12;;2
2026-08-11;Bueng Kum;51549;266,7;6,28;18;;2
2026-08-11;Chatuchak;86387;505,3;5,3;82;;2
2026-08-11;Chom Thong;66917;307,3;5,68;18;;2
2026-08-11;Din Daeng;100865;491,2;5,38;29;;2
2026-08-11;Don Mueang;66768;354,2;;2;;2
2026-08-11;Dusit;151496;488,9;;0;;2
2026-08-11;Huai Khwang;84231;491,9;5,73;79;;2
2026-08-11;Khan Na Yao;63026;391,2;;4;;2
2026-08-11;Khlong San;106522;450,3;4,79;37;;2
2026-08-11;Khlong Toei;136241;603,9;5,32;108;;2
2026-08-11;Lak Si;66038;339,3;;2;;2
2026-08-11;Lat Krabang;57090;;;0;;2
2026-08-11;Lat Phrao;75600;393,9;;3;;2
2026-08-11;Min Buri;67617;305,8;5,43;7;;2
2026-08-11;Nong Khaem;;140;;0;;2
2026-08-11;Pathum Wan;177039;730,6;4,58;38;;2
2026-08-11;Phasi Charoen;68779;343,1;5,78;25;;2
2026-08-11;Phaya Thai;113213;518,6;4,89;37;;2
2026-08-11;Phra Khanong;82825;434,2;5,75;52;;2
2026-08-11;Phra Nakhon;86486;469,5;;1;;2
2026-08-11;Pom Prap Sattru Phai;112575;382,9;;1;;2
2026-08-11;Prawet;41667;294,9;;4;;2
2026-08-11;Rat Burana;65000;285,7;5,74;9;;2
2026-08-11;Ratchathewi;147390;612,9;4,67;56;;2
2026-08-11;Sai Mai;63776;387,5;;3;;2
2026-08-11;Saphan Sung;39960;;;0;;2
2026-08-11;Sathon;133747;514,3;4,96;34;;2
2026-08-11;Suan Luang;68846;423,7;6,37;32;;2
2026-08-11;Taling Chan;44981;260,4;;1;;2
2026-08-11;Thon Buri;75930;388,7;5,88;31;;2
2026-08-11;Thung Khru;84892;480,8;;1;;2
2026-08-11;Vadhana;136096;581,4;5,29;161;;2
2026-08-11;Wang Thonglang;57949;350,7;6,43;19;;2
2026-08-11;Yan Nawa;86406;411,8;5,48;19;;2
2026-08-17;Bang Bon;39286;244,6;;0;;2
2026-08-17;Bang Kapi;59062;428,6;6,06;36;;2
2026-08-17;Bang Khae;57388;325;6,58;8;;2
2026-08-17;Bang Khen;68385;377,2;5,84;16;;2
2026-08-17;Bang Kho Laem;101826;556,6;4,99;12;;2
2026-08-17;Bang Khun Thian;58696;281,2;;2;;2
2026-08-17;Bang Na;68293;402;5,49;30;;2
2026-08-17;Bang Phlat;76170;375;5,65;28;;2
2026-08-17;Bang Rak;160379;671,8;4,71;42;;2
2026-08-17;Bang Sue;82581;378,3;5,29;26;;2
2026-08-17;Bangkok Noi;80351;392,3;5,36;20;;2
2026-08-17;Bangkok Yai;84273;384,2;5,41;12;;2
2026-08-17;Bueng Kum;51481;278,3;6,41;21;;2
2026-08-17;Chatuchak;86800;486,4;5,49;96;;2
2026-08-17;Chom Thong;65312;321,4;5,76;20;;2
2026-08-17;Din Daeng;96692;450,8;5,34;31;;2
2026-08-17;Don Mueang;66768;377,1;;1;;2
2026-08-17;Dusit;134208;488,9;;1;;2
2026-08-17;Huai Khwang;83954;472,2;5,65;85;;2
2026-08-17;Khan Na Yao;63026;375;5,25;7;;2
2026-08-17;Khlong San;105662;447,4;4,81;39;;2
2026-08-17;Khlong Toei;136705;604,4;5,37;115;;2
2026-08-17;Lak Si;67308;357,1;;4;;2
2026-08-17;Lat Krabang;57308;384,4;;0;;2
2026-08-17;Lat Phrao;60006;404,8;;4;;2
2026-08-17;Min Buri;67552;319,1;5,73;9;;2
2026-08-17;Nong Khaem;;140;;0;;2
2026-08-17;Pathum Wan;176935;711,1;4,76;38;;2
2026-08-17;Phasi Charoen;70000;343,8;5,75;30;;2
2026-08-17;Phaya Thai;112897;511,3;4,91;41;;2
2026-08-17;Phra Khanong;82275;427,2;5,62;54;;2
2026-08-17;Phra Nakhon;77685;469,5;;1;;2
2026-08-17;Pom Prap Sattru Phai;112575;382,9;;1;;2
2026-08-17;Prawet;48141;297;6,69;6;;2
2026-08-17;Rat Burana;65000;285,6;5,67;11;;2
2026-08-17;Ratchathewi;146608;610,4;4,62;61;;2
2026-08-17;Sai Mai;65400;392,9;7,06;5;;2
2026-08-17;Saphan Sung;39960;183,6;;1;;2
2026-08-17;Sathon;126548;500;5,07;38;;2
2026-08-17;Suan Luang;67784;423,7;6,41;35;;2
2026-08-17;Taling Chan;43320;260,4;;1;;2
2026-08-17;Thon Buri;76827;373,2;5,79;31;;2
2026-08-17;Thung Khru;84892;480,8;;1;;2
2026-08-17;Vadhana;135714;586,9;5,32;165;;2
2026-08-17;Wang Thonglang;57270;333,3;7,16;23;;2
2026-08-17;Yan Nawa;84408;417,2;5,55;23;;2
